FIPS,Scenario,annprcp,tmean_Jan,tmean_Apr,tmean_Jul,tmean_Oct,tminavg,tmaxavg,annualGDD,bio5,bio6
16013,RCP45,388.3636229632927,26.43890031209764,43.27377476355692,72.76907292964923,46.75816860507702,22.101523526761635,82.92430741698816,2202.4203251244257,86.83332008860513,18.539380823830832
16013,RCP85,405.76381108412386,24.715180256110443,44.46728313979658,73.88007078562464,47.91856612814495,24.727722023557536,83.2081057007649,2343.946280251928,87.79156915513933,17.53355060587925
22053,Current,1498.654726349694,52.230516121710174,67.86856761778951,81.96256775259833,69.76194357654383,48.987493274360084,86.77671620496655,6565.400092163296,87.37964890880095,45.23116303518953
22053,RCP45,1619.5553498375982,56.048468506565186,72.01609333778832,84.06479019749679,73.28424058465122,51.88043519267985,89.12706639445615,7666.764781362734,89.44501769205863,48.46911450683912
22053,RCP85,1620.0826782605618,56.50837285991575,72.18284647159096,84.66381301863233,73.35353526657512,52.755073191336635,89.7305812556468,7884.993242995771,90.46897102295776,49.753043847932936
46119,Current,450.528448466094,18.604198338345157,46.68882045922073,75.28127183316538,48.54601299344746,15.721289108810119,83.49477181285684,2663.8691065302733,86.46014763315556,9.997261981778092
46119,RCP45,440.57425523683605,24.771417146430235,50.36067461386342,80.83316405602102,51.15593963529333,19.89802636248872,89.16757775177504,3362.3387947260103,92.720284752658,16.7065364647895
46119,RCP85,459.39655616551045,22.416570965583354,49.56609886504425,81.46370596834507,52.05893751535231,21.40318178551447,89.04513058139042,3427.216235730264,93.2087417627741,14.410478658049168
08031,Current,392.34020211483426,29.322597503789396,46.689668741271994,72.13162290555083,49.908051562957304,20.57813290975233,83.0180905961708,2291.871582021875,85.70247769471254,16.897287430212398
08031,RCP45,379.1703645075152,33.845056071706715,49.7691706359179,76.50229146904022,52.35400173597371,23.312175268302536,87.5188942805926,2918.853636482257,90.72187932753236,21.417401860719785
08031,RCP85,416.21800954656237,32.717335580411174,49.5520447052915,75.88251223597423,53.06302359504019,25.249658439460468,87.20160402016508,2964.9519658329104,89.51928316617591,20.265194308769928
40029,Current,1068.3395040502992,41.60742281331378,63.01683835243948,83.58481768859184,64.19194174765276,37.94254515575972,91.02406961649811,5319.93753133978,92.48645555380443,32.96011517161573
40029,RCP45,1089.5337562679586,45.658368045019806,67.06569335335159,86.83324126767705,67.32878111882808,40.44602988921105,95.04918577939395,6077.080861672462,96.66718838399177,36.189483373925135
40029,RCP85,1127.3025971296302,45.08023372765598,67.41930967117949,86.78877642898368,68.41133062567513,41.83163946956631,94.71721293609208,6368.782499734219,96.36203823880864,36.841981324846635
30011,Current,369.35910089125167,21.735212597016385,44.600226415835,72.87770529499431,46.41997006898726,17.7031150707341,81.9750073818479,2217.2978500081363,85.43056917621905,13.353920972235978
30011,RCP45,360.9459351571356,27.69816399681933,47.04243817857923,78.5310755577484,48.762726212708706,21.00298497664162,87.72344793081095,2874.4194417256235,91.97193667356252,19.724572832067853
30011,RCP85,381.0500355932557,24.616484627387802,46.98635766200748,78.89255804398087,49.755063321018085,23.022434981292378,87.56242763847354,2954.4124269580693,91.86353505171319,16.71513656068419
48461,Current,381.5466241714145,45.79786926507987,66.43768068456347,82.30974074894534,66.19445003572716,38.60715552477608,91.96069255343396,5719.050178256679,92.42267479598529,33.708399599095834
48461,RCP45,388.93461673804006,49.623932501231266,70.09241651160615,85.46268056580656,68.80577343510578,40.83502282362245,95.47641281581866,6561.469893927254,96.23280772916337,36.77151878216596
48461,RCP85,428.73129635333765,48.73516088744996,70.7845165463917,85.0083894788612,69.19886192307882,41.923687431266416,94.90621874793096,6736.0020339479925,95.67501462770662,36.758718665068
18051,Current,1112.0840092171547,32.73802106932345,57.10476260316687,79.11508163405696,57.9249535432735,30.362094075803746,86.22171493226122,4011.3662711862817,87.77385081403985,25.404254444614036
18051,RCP45,1205.7534903521587,37.52774283936964,61.97737605675223,82.83906120493329,61.42109790063352,34.06072781114877,90.55079209762606,4766.918412997204,92.2250611939474,29.917712759866713
18051,RCP85,1180.7500749549174,37.30297558389966,61.7673666142611,83.7615553176169,62.19679137837169,34.36347174308469,91.50282517952213,4952.1181424405095,93.13138064607556,30.094991388193463
31105,Current,406.36654193945185,28.39839836212549,46.31465379141999,73.34875282048831,48.728635159615166,21.698189423118595,83.14343853065837,2368.6898112527824,86.18689838371046,18.864998355480388
31105,RCP45,383.98353130679976,33.043068523451204,49.31442375324974,78.48616291487409,51.090087706735055,24.424080762239154,88.3560830955757,3007.615094611515,92.33858042984959,22.987395458249484
31105,RCP85,430.9458676507975,31.19769298125102,48.65736113408829,77.40634922731607,51.9512810444802,26.023347080716515,87.49467629614762,3010.103997583946,90.4930278802253,21.6605896039877
17093,Current,884.443076156667,23.93214452384214,49.95336219552134,74.81023201877345,52.61480865899957,21.49746595029421,81.54489419800359,2886.9001403321254,83.67480224180387,16.16456882475592
17093,RCP45,867.1390965740078,29.97531095718769,54.71282901735955,79.31427227910139,55.9928140894984,26.110617388201646,86.47793696030293,3716.0451180184186,88.94539630450105,22.453878736491035
17093,RCP85,875.1378960145564,29.244422478824003,54.07617335007453,80.61565129505563,56.59995013495438,26.38717387808874,87.31213358812198,3782.5265487834104,90.51353975064713,21.884925392061504
11001,Current,1027.2680410389755,35.21300544464975,56.0275899732153,78.47597689818944,57.74670125202816,31.336276454830347,84.82328963872392,3823.3462892028656,86.92134553533627,28.08928717444887
11001,RCP45,1108.039456524415,39.46228870436372,60.82287241480451,82.41155045845214,60.50232768507982,34.93313297676572,88.84585709172097,4618.727317001268,91.39710180601824,32.308855928862
11001,RCP85,1106.0376623630925,39.156553344068335,60.829873981449595,83.08347973553684,61.16449899729702,35.33018103924586,89.3836399971495,4714.314205059241,91.99756854111365,32.29062005372176
08085,Current,340.9077348413163,25.382536243007834,43.819159815523285,69.55639662445348,46.858004893877265,19.487522636307634,79.99688663833442,1912.881231821814,82.69178541515059,14.623364718058921
08085,RCP45,330.8494295851076,29.9399870461281,46.58195239878086,73.74801171902088,49.59876950409091,22.39308561917194,84.33225182816496,2505.2757392472586,87.2756100867783,19.582378905683317
08085,RCP85,350.9011107184023,29.024306618024102,46.68461483031165,73.9983201430777,50.05075301174327,24.621755138114306,84.63020803808644,2581.8656269718517,87.43026013657752,18.596266917736834
27171,Current,741.890948412887,14.071161144594583,45.65738649020737,72.56125466172557,47.54531428397482,12.472927103010072,79.45026403784036,2362.0294454699315,82.02662668977958,6.03470566384672
